,tweet_id,date,time,lang,country_code
547,1356106010629296128,2021-02-01,05:04:02,en,
552,1356106018279849987,2021-02-01,05:04:04,en,
553,1356106019190013956,2021-02-01,05:04:04,en,
558,1356106029713350659,2021-02-01,05:04:07,en,
560,1356106031521099779,2021-02-01,05:04:07,en,
561,1356106032230006786,2021-02-01,05:04:07,en,
562,1356106036483031041,2021-02-01,05:04:08,en,
566,1356106041642123266,2021-02-01,05:04:10,en,
569,1356106045177933832,2021-02-01,05:04:11,en,
570,1356106047065305090,2021-02-01,05:04:11,en,US
571,1356106048311062529,2021-02-01,05:04:11,en,
572,1356106050546458624,2021-02-01,05:04:12,en,
573,1356106050634731520,2021-02-01,05:04:12,en,US
575,1356106051716866051,2021-02-01,05:04:12,en,
576,1356106054598352896,2021-02-01,05:04:13,en,
578,1356106056624001024,2021-02-01,05:04:13,en,
581,1356106061439266819,2021-02-01,05:04:14,en,
583,1356106063330766853,2021-02-01,05:04:15,en,
585,1356106065973284865,2021-02-01,05:04:16,en,
587,1356106078858039300,2021-02-01,05:04:19,en,
589,1356106081722900480,2021-02-01,05:04:19,en,
590,1356106083132182529,2021-02-01,05:04:20,en,
591,1356106083526266880,2021-02-01,05:04:20,en,
592,1356106085858480129,2021-02-01,05:04:20,en,
597,1356106095085957122,2021-02-01,05:04:22,en,
598,1356106095400374273,2021-02-01,05:04:23,en,
599,1356106096214069250,2021-02-01,05:04:23,en,IN
600,1356106099020210176,2021-02-01,05:04:23,en,
601,1356106100710334467,2021-02-01,05:04:24,en,
606,1356106108624986114,2021-02-01,05:04:26,en,
607,1356106108721631232,2021-02-01,05:04:26,en,
608,1356106109166125063,2021-02-01,05:04:26,en,
611,1356106113079529472,2021-02-01,05:04:27,en,
612,1356106113930944517,2021-02-01,05:04:27,en,
614,1356106115692392448,2021-02-01,05:04:27,en,
616,1356106125662445569,2021-02-01,05:04:30,en,
617,1356106126723592193,2021-02-01,05:04:30,en,
618,1356106131668537346,2021-02-01,05:04:31,en,
620,1356106133027622913,2021-02-01,05:04:32,en,
621,1356106133149114369,2021-02-01,05:04:32,en,
622,1356106134847971329,2021-02-01,05:04:32,en,
626,1356106144796733440,2021-02-01,05:04:34,en,
627,1356106144901718018,2021-02-01,05:04:34,en,
632,1356106151113330689,2021-02-01,05:04:36,en,
636,1356106155827757056,2021-02-01,05:04:37,en,
637,1356106158784843776,2021-02-01,05:04:38,en,
638,1356106160244404227,2021-02-01,05:04:38,en,
